site_id,source_id,type,value,year_from,year_to,method
3,4,cultural_continuity_index,1.0,-1750,-1700,Shady2025_Vichama_architecture
4,4,cultural_continuity_index,1.0,-1750,-1700,Shady2025_Penico_rituals
